code,system
B150.00,readv2
B150z00,readv2
B152.00,readv2
ZV10015,readv2
B150000,readv2
BB5D711,readv2
Byu1100,readv2
B150100,readv2
B150200,readv2
107299.0,med
110147.0,med
16126.0,med
20234.0,med
22187.0,med
25535.0,med
25641.0,med
26393.0,med
26814.0,med
31210.0,med
40240.0,med
43490.0,med
44399.0,med
46771.0,med
58177.0,med
68410.0,med
B150300,readv2
BB5D500,readv2
BB5D513,readv2
BB5D700,readv2
BB5D800,readv2
BB5D511,readv2
BB5D512,readv2
C22.0,icd10
C22.2,icd10
C22.3,icd10
C22.9,icd10
C22.4,icd10
C22.7,icd10